               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,            0.015406,            0.035235,           0.0010865,             0.96944,               0.944,             0.97152,             0.82281,             0.01252,            0.030648,          0.00058911,            0.001486,            0.001486,            0.001486
                  88,            0.015401,             0.03546,           0.0010557,              0.9694,             0.94527,             0.97181,             0.82245,            0.012496,             0.03057,            0.000582,            0.001387,            0.001387,            0.001387
                  89,             0.01527,            0.035025,           0.0010391,              0.9699,             0.94471,             0.97248,             0.82263,            0.012477,            0.030509,          0.00057594,            0.001288,            0.001288,            0.001288
                  90,            0.015294,            0.035285,            0.001043,             0.96987,             0.94519,             0.97381,             0.82409,            0.012475,            0.030489,          0.00056831,            0.001189,            0.001189,            0.001189
                  91,            0.015146,            0.034927,           0.0010121,              0.9717,              0.9437,             0.97259,             0.82383,            0.012466,            0.030477,          0.00056186,             0.00109,             0.00109,             0.00109
                  92,            0.015209,            0.035133,           0.0010413,             0.97091,             0.94424,              0.9725,             0.82413,            0.012447,            0.030415,          0.00055664,            0.000991,            0.000991,            0.000991
                  93,            0.014949,            0.034573,          0.00099728,             0.97071,             0.94457,             0.97259,             0.82479,            0.012417,            0.030262,          0.00055264,            0.000892,            0.000892,            0.000892
                  94,            0.015103,            0.034712,           0.0010171,             0.97109,             0.94446,             0.97313,             0.82488,            0.012391,            0.030209,          0.00055058,            0.000793,            0.000793,            0.000793
                  95,            0.014961,            0.034436,           0.0010037,             0.97037,             0.94473,             0.97371,              0.8266,            0.012364,            0.030153,          0.00054783,            0.000694,            0.000694,            0.000694
                  96,            0.014959,            0.034257,          0.00097269,             0.96953,             0.94505,             0.97354,             0.82636,            0.012342,            0.030122,           0.0005449,            0.000595,            0.000595,            0.000595
                  97,            0.014904,            0.034081,          0.00096994,             0.96827,             0.94595,             0.97329,             0.82688,            0.012331,            0.030096,          0.00054269,            0.000496,            0.000496,            0.000496
                  98,            0.014846,            0.034211,            0.000978,             0.96917,             0.94586,             0.97365,             0.82651,            0.012323,            0.030055,          0.00054085,            0.000397,            0.000397,            0.000397
                  99,            0.014831,            0.034122,           0.0010028,             0.97038,             0.94559,             0.97391,              0.8271,            0.012318,            0.030017,          0.00053885,            0.000298,            0.000298,            0.000298
